date,type_Additional,type_Holiday
2017-08-17,0,1
2017-09-01,0,1
2017-09-21,0,1
2017-12-01,0,1
2017-12-25,0,1
2017-12-26,1,0
2018-01-01,0,1
2018-02-16,0,1
2018-03-17,0,1
2018-03-30,0,1
2018-04-14,0,1
2018-05-01,0,1
2018-05-10,0,1
2018-05-29,0,1
2018-06-01,0,1
2018-06-13,1,0
2018-06-14,1,0
2018-06-15,0,1
2018-06-16,0,1
2018-06-18,1,0
2018-06-19,1,0
2018-08-17,0,1
2018-08-22,0,1
2018-09-11,0,1
2018-11-20,0,1
2018-12-24,1,0
2018-12-25,0,1
2019-01-01,0,1
2019-02-05,0,1
2019-03-07,0,1
2019-04-03,0,1
2019-04-19,0,1
2019-05-01,0,1
2019-05-19,0,1
2019-05-30,0,1
2019-06-01,0,1
2019-06-03,1,0
2019-06-04,1,0
2019-06-05,0,1
2019-06-06,0,1
2019-06-07,1,0
2019-08-11,0,1
2019-08-17,0,1
2019-09-01,0,1
2019-11-09,0,1
2019-12-24,1,0
2019-12-25,0,1
2020-01-01,0,1
2020-01-25,0,1
2020-03-22,0,1
2020-03-25,0,1
2020-04-10,0,1
2020-05-01,0,1
2020-05-07,0,1
2020-05-21,0,1
2020-05-22,1,0
2020-05-24,0,1
2020-05-25,0,1
2020-05-26,1,0
2020-05-27,1,0
2020-06-01,0,1
2020-07-31,0,1
2020-08-17,0,1
2020-08-20,0,1
2020-10-29,0,1
2020-12-24,1,0
2020-12-25,0,1
2021-01-01,0,1
2021-02-12,0,1
2021-03-11,0,1
2021-03-12,1,0
2021-03-14,0,1
2021-04-02,0,1
2021-05-01,0,1
2021-05-12,1,0
2021-05-13,0,1
2021-05-14,0,1
2021-05-17,1,0
2021-05-18,1,0
2021-05-19,1,0
2021-05-26,0,1
2021-06-01,0,1
2021-07-20,0,1
2021-08-10,0,1
2021-08-17,0,1
2021-10-19,0,1
2021-12-24,1,0
2021-12-25,0,1
2021-12-27,1,0
2022-01-01,0,1
2022-02-01,0,1
2022-02-28,0,1
2022-03-03,0,1
2022-04-15,0,1
2022-04-29,1,0
2022-05-01,0,1
2022-05-02,0,1
2022-05-03,0,1
2022-05-04,1,0
2022-05-05,1,0
2022-05-06,1,0
2022-05-16,0,1
2022-05-26,0,1
2022-06-01,0,1
2022-07-09,0,1
2022-07-30,0,1
2022-08-17,0,1
2022-10-08,0,1
2022-12-25,0,1
2023-01-01,0,1
2023-01-22,0,1
2023-01-23,1,0
2023-02-18,0,1
2023-03-22,0,1
2023-03-23,1,0
2023-04-07,0,1
2023-04-21,1,0
2023-04-22,0,1
2023-04-23,0,1
2023-04-24,1,0
2023-04-25,1,0
2023-04-26,1,0
2023-05-01,0,1
2023-05-18,0,1
2023-06-01,0,1
2023-06-02,1,0
2023-06-04,0,1
2023-06-29,0,1
2023-07-19,0,1
2023-08-17,0,1
2023-09-28,0,1
2023-12-25,0,1
2023-12-26,1,0
2024-01-01,0,1
2024-02-08,0,1
2024-02-09,1,0
2024-02-10,0,1
2024-03-11,0,1
2024-03-12,1,0
2024-03-29,0,1
2024-03-31,0,1
2024-04-08,1,0
2024-04-09,1,0
2024-04-10,0,1
2024-04-11,0,1
2024-04-12,1,0
2024-04-15,1,0
2024-05-01,0,1
2024-05-09,0,1
2024-05-10,1,0
2024-05-23,0,1
2024-05-24,1,0
2024-06-01,0,1
2024-06-17,0,1
2024-06-18,1,0
2024-07-07,0,1
2024-08-17,0,1
2024-09-16,0,1
2024-12-25,0,1
2024-12-26,1,0
2025-01-01,0,1
2025-01-27,0,1
2025-01-28,1,0
2025-01-29,0,1
2025-03-28,1,0
2025-03-29,0,1
2025-03-31,0,1
2025-04-01,0,1
2025-04-02,1,0
2025-04-03,1,0
2025-04-04,1,0
2025-04-07,1,0
2025-04-18,0,1
2025-04-20,0,1
2025-05-01,0,1
2025-05-12,0,1
2025-05-13,1,0
2025-05-29,0,1
2025-05-30,1,0
2025-06-01,0,1
2025-06-06,0,1
2025-06-09,1,0
2025-06-27,0,1
2025-08-17,0,1
2025-09-05,0,1
2025-12-25,0,1
2025-12-26,1,0
