date,price
08/15/2025,62.80
08/14/2025,63.96
08/13/2025,62.65
08/12/2025,63.17
08/11/2025,63.96
08/10/2025,63.44
08/08/2025,63.88
08/07/2025,63.88
08/06/2025,64.35
08/05/2025,65.16
08/04/2025,66.29
08/01/2025,67.33
07/31/2025,69.26
07/30/2025,70.00
07/29/2025,69.21
07/28/2025,66.71
07/25/2025,65.16
07/24/2025,66.03
07/23/2025,65.25
07/22/2025,66.21
07/21/2025,67.20
07/18/2025,67.34
07/17/2025,67.54
07/16/2025,66.38
07/15/2025,65.37
07/14/2025,65.81
07/11/2025,68.45
07/10/2025,66.57
07/09/2025,68.38
07/08/2025,68.33
07/07/2025,67.93
07/04/2025,66.49
07/03/2025,67.00
07/02/2025,67.45
07/01/2025,65.45
06/30/2025,65.11
06/27/2025,65.52
06/26/2025,65.24
06/25/2025,64.92
06/24/2025,64.37
06/23/2025,68.51
06/20/2025,74.93
06/19/2025,73.82
06/18/2025,75.14
06/17/2025,74.84
06/16/2025,71.77
06/13/2025,71.29
06/12/2025,66.64
06/11/2025,66.90
06/10/2025,63.91
06/09/2025,64.22
06/06/2025,64.58
06/05/2025,63.37
06/04/2025,62.85
06/03/2025,63.41
06/02/2025,62.52
05/30/2025,60.79
05/29/2025,60.94
05/28/2025,61.84
05/27/2025,60.89
05/26/2025,61.49
05/25/2025,61.93
05/23/2025,61.53
05/22/2025,61.20
05/21/2025,61.57
05/20/2025,62.56
05/19/2025,62.69
05/16/2025,61.97
05/15/2025,61.15
05/14/2025,62.68
05/13/2025,63.25
05/12/2025,61.56
05/09/2025,61.02
05/08/2025,59.91
05/07/2025,58.07
05/06/2025,59.09
05/05/2025,57.13
05/02/2025,58.29
05/01/2025,59.24
04/30/2025,58.21
04/29/2025,60.42
04/28/2025,62.05
04/25/2025,63.02
04/24/2025,62.79
04/23/2025,62.27
04/22/2025,64.31
04/21/2025,63.08
04/17/2025,64.68
04/16/2025,62.47
04/15/2025,60.75
04/14/2025,61.05
04/11/2025,61.50
04/10/2025,60.07
04/09/2025,62.35
04/08/2025,59.58
04/07/2025,60.70
04/04/2025,61.99
04/03/2025,66.95
04/02/2025,71.71
04/01/2025,71.20
03/31/2025,71.48
03/28/2025,69.36
03/27/2025,69.92
03/26/2025,69.65
03/25/2025,69.00
03/24/2025,69.11
03/21/2025,68.28
03/20/2025,68.26
03/19/2025,67.16
03/18/2025,66.90
03/17/2025,67.37
03/14/2025,66.91
03/13/2025,66.27
03/12/2025,67.38
03/11/2025,65.93
03/10/2025,65.68
03/07/2025,67.04
03/06/2025,66.36
03/05/2025,66.31
03/04/2025,68.26
03/03/2025,68.37
02/28/2025,69.76
02/27/2025,70.35
02/26/2025,68.62
02/25/2025,68.93
02/24/2025,70.70
02/21/2025,70.40
02/20/2025,72.57
02/19/2025,72.25
02/18/2025,71.85
02/14/2025,70.71
02/13/2025,71.14
02/12/2025,71.24
02/11/2025,73.08
02/10/2025,72.01
02/07/2025,71.00
02/06/2025,70.61
02/05/2025,71.03
02/04/2025,72.70
02/03/2025,73.16
01/31/2025,72.53
01/30/2025,72.73
01/29/2025,72.62
01/28/2025,73.77
01/27/2025,73.17
01/24/2025,74.66
01/23/2025,74.62
01/22/2025,75.44
01/21/2025,75.89
01/17/2025,77.88
01/16/2025,78.68
01/15/2025,78.71
01/14/2025,76.37
01/13/2025,77.30
01/10/2025,75.75
01/09/2025,73.24
01/08/2025,72.67
01/07/2025,73.57
01/06/2025,72.92
01/03/2025,73.21
01/02/2025,72.50
12/31/2024,71.25
12/30/2024,70.53
12/27/2024,70.18
12/26/2024,69.23
12/24/2024,69.64
12/23/2024,68.81
12/20/2024,69.02
12/19/2024,69.38
12/18/2024,70.02
12/17/2024,69.65
12/16/2024,70.29
12/13/2024,70.82
12/12/2024,69.66
12/11/2024,69.87
12/10/2024,68.27
12/09/2024,68.09
12/06/2024,66.98
12/05/2024,67.96
12/04/2024,68.19
12/03/2024,69.54
12/02/2024,67.84
11/29/2024,67.72
11/27/2024,68.35
11/26/2024,68.44
11/25/2024,68.58
11/22/2024,70.77
11/21/2024,69.77
11/20/2024,68.75
11/19/2024,69.24
11/18/2024,69.17
11/15/2024,66.92
11/14/2024,68.53
11/13/2024,68.26
11/12/2024,67.97
11/11/2024,67.92
11/08/2024,70.11
11/07/2024,71.96
11/06/2024,71.24
11/05/2024,71.56
11/04/2024,71.03
11/01/2024,69.08
10/31/2024,68.81
10/30/2024,68.18
10/29/2024,66.81
10/28/2024,66.98
10/25/2024,71.35
10/24/2024,69.84
10/23/2024,70.37
10/22/2024,71.74
10/21/2024,70.04
10/18/2024,68.69
10/17/2024,70.09
10/16/2024,69.82
10/15/2024,70.01
10/14/2024,73.24
10/11/2024,74.85
10/10/2024,75.11
10/09/2024,72.59
